61aa52478ae8ee306d5dcf52,5GRCWGJ8+M9,72a73f5a87f63ee22abfcf7899d21fca,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,L.T.Desta,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,28.51594667,-13.06836667,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr056181
61aa52478ae8ee306d5dcf67,7F3C8449+RR,559b201c3cd71609552e59655d042bfb,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,8.119573333,11.307105,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr068439
61aa52478ae8ee306d5dcf71,,aee91e1eca7f160f89ab5547160be1d7,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,NA,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,,,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,,,,icr074983
61aa52478ae8ee306d5dcf98,6G5RVCFR+H3,38911a587860338b7e34029fca4f44e0,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Tor Gunnar Vagen,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,36.44020081,-6.12600994,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr006455
61aa52478ae8ee306d5dcfa1,6G5RWFV5+P3,293bbe00288ae508f7b31a3eee67d945,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Tor Gunnar Vagen,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,36.45772171,-6.05574989,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr006587
61aa52478ae8ee306d5dcfb2,6G6VMF83+9H,7188edb5644b83ab3da6413710a9abe1,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Tor Gunnar Vagen,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,37.45391846,-5.33404493,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr007770
61aa52478ae8ee306d5dcfe7,7C6CRXC8+JV,76abccf7cb159056e40182f90443a341,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-11.03285833,14.82152167,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr010376
61aa52478ae8ee306d5dcfee,7C6CRXFR+QH,d2e832e3c9889052fb666fcebfbd24c5,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-11.00853333,14.82445833,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr010455
61aa52478ae8ee306d5dcfef,7C6CRXFR+QH,f6bc7e683c3b783d5784ef32c16f5c65,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-11.00853333,14.82445833,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr010456
61aa52478ae8ee306d5dcfff,7C6FR2VP+H9,f9e75f78595b6e4ca4de2da5a8528b92,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Jerome Tondoh,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,-10.96401,14.84399167,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,1.0,0.0,20.0,icr010635
61aa52478ae8ee306d5dd02b,6G8MX2VV+3X,9aadeab049877b35abdfd98c60011469,Open Soil Spectroscopy Library,https://soilspectroscopy.github.io,9801,13453,GPS,Leigh Winoweicki,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,33.04496384,-3.00733495,30.0,Africa Soil Information Service (AfSIS-1),the World Agroforestry Centre (ICRAF), Crop Nutrition Laboratory Services Ltd. (CROPNUTS), and Rothamsted Research (RRES),AFSIS1.SSL,ICRAF, PO Box 30677, Nairobi, 00100, Kenya,ODC Open Database License,https://opendatacommons.org/licenses/odbl/,Keith Shepherd,afsis.info@africasoils.net,2.0,20.0,50.0,icr011942
